Date,Net points change,Cumulative outstanding points
"September 2, 2026","2,195","1,176,367"
"August 31, 2026","21,603","1,174,172"
"July 31, 2026","39,497","1,152,569"
"June 30, 2026","37,822","1,113,072"
"May 31, 2026","47,733","1,075,250"
"April 30, 2026","61,292","1,027,517"
"March 31, 2026","48,474","966,225"
"February 28, 2026","49,452","917,751"
"January 31, 2026","79,060","868,299"
"December 31, 2025","208,337","789,239"
"November 30, 2025","440,787","580,902"
"October 31, 2025","140,115","140,115"
