Date,VIP tier,Added to tier,Promoted to tier,Demoted to tier,Removed from tier
"August 1, 2026",Yellow ribbon,30,0,0,0
"July 1, 2026",Blue Ribbon,0,2,0,0
"July 1, 2026",Red ribbon,0,6,0,0
"July 1, 2026",Yellow ribbon,243,0,3,0
"June 1, 2026",Blue Ribbon,0,3,0,0
"June 1, 2026",Red ribbon,0,14,0,0
"June 1, 2026",Yellow ribbon,174,0,2,0
"May 1, 2026",Blue Ribbon,0,3,0,0
"May 1, 2026",Red ribbon,0,10,0,0
"May 1, 2026",Yellow ribbon,221,0,0,0
"April 1, 2026",Blue Ribbon,0,3,0,0
"April 1, 2026",Red ribbon,0,10,0,0
"April 1, 2026",Yellow ribbon,165,0,2,0
"March 1, 2026",Blue Ribbon,0,4,0,0
"March 1, 2026",Red ribbon,0,20,0,0
"March 1, 2026",Yellow ribbon,105,0,0,0
"February 1, 2026",Blue Ribbon,0,3,0,0
"February 1, 2026",Red ribbon,0,8,0,0
"February 1, 2026",Yellow ribbon,138,0,1,0
"January 1, 2026",Blue Ribbon,0,4,0,0
"January 1, 2026",Grand Champion,0,0,0,0
"January 1, 2026",Red ribbon,0,14,0,0
"January 1, 2026",Yellow ribbon,317,0,1,0
"December 1, 2025",Blue Ribbon,0,28,1,0
"December 1, 2025",Grand Champion,0,3,0,0
"December 1, 2025",Red ribbon,0,76,3,0
"December 1, 2025",Yellow ribbon,297,0,11,0
"November 1, 2025",Blue Ribbon,0,111,0,0
"November 1, 2025",Red ribbon,0,139,1,0
"November 1, 2025",Yellow ribbon,320,0,4,0
"October 1, 2025",Blue Ribbon,0,18,0,0
"October 1, 2025",Grand Champion,0,2,0,0
"October 1, 2025",Red ribbon,0,51,0,0
"October 1, 2025",Yellow ribbon,"20,983",0,0,0
